case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
1,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,21.550384615384615,3,NA,3.3,NA,NA,NA,31.16,9.23,10.62,NA,3.06,NA,NA,NA,45.23,NA,NA,NA,230.77,NA,NA,NA,NA,NA,9.23,NA,NA,96.82940119113232,80.48,NA,18.125,6.64,4.55,488.2344011911323,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.48,18.125,962.82,972.44,728.5,149.55,96.82940119113232
2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,161.55,NA,40.35375,9.7,NA,NA,NA,NA,16.16,16.75,NA,75.01,NA,NA,0.38,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.4226927360475,58.225,8.825,37.055,178.95,7.78,663.2926927360476,NA,NA,NA,NA,52.895,1.495,NA,NA,NA,NA,NA,5.285,NA,NA,NA,17.99,58.225,37.055,1063.93,1063.93,852.99,118.62,229.4226927360475
3,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,126.93,NA,26.130961538461538,11.77,NA,NA,NA,NA,11.08,NA,NA,NA,20.41,3.06,3,13.85,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.02928147727107,30.435,NA,NA,105.755,26.3,503.82428147727103,NA,0.8,NA,0.545,24.975,1.475,NA,1.995,NA,NA,NA,NA,NA,NA,NA,NA,30.435,NA,1068.09,1068.09,761.6,215.56,164.02928147727107
4,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.863846153846154,7.83,NA,4.5375,NA,NA,7.1,16.16,NA,NA,57.71,3.06,7.86,12.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.129179570542874,86.715,NA,2.475,138.81745018847604,5.845,703.6391297590188,0.89,0.695,5.125,2.1,NA,4.95,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.715,2.475,1087.69,1087.69,926.55,96.75,47.129179570542874
5,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28.31495192307692,3.46,NA,2.1395,NA,NA,4.62,NA,NA,NA,30.23,3.06,4.04,3.46,6.46,8.31,31.54,NA,NA,NA,NA,NA,18.46,NA,NA,NA,NA,NA,93.09712843065279,38.69,NA,26.965,128.15,33.535,409.2626284306528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,38.69,26.965,852.57,921.65,745.6624,100.2376,93.09712843065279
6,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42.229038461538465,13.15,NA,2.0955,NA,NA,5.47,6.92,18.23,30.23,NA,3.06,4.04,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.23,NA,NA,223.28995532891065,199.595,NA,80.395,73.45,13.385,734.8344553289107,5.25,2,2,NA,29.57,2.625,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,199.595,80.395,729.6432307692307,729.6432307692307,690.0232307692307,39.62,223.28995532891065
7,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.15403846153846,8.15,NA,3.4925,NA,NA,3.92,7.62,NA,NA,17.31,NA,NA,NA,NA,NA,15.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.99904408230353,77.37,NA,12.2,59.89,16.89,510.4665440823035,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,51.2,NA,NA,NA,NA,53.67,77.37,12.2,1805.26,2151.42,1440.8248,588.5052,250.99904408230353
8,2,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,66.34615384615385,NA,23.933461538461536,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,90.06104802183813,15.5,NA,NA,NA,3.4,177.3960480218381,NA,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,15.5,NA,277.704,277.704,277.704,NA,90.06104802183813
9,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,155.78,NA,35.65512820512821,9,NA,NA,NA,NA,6.92,6.92,NA,30.23,NA,3.06,3.46,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.0929174286825,99.59,11.975,NA,104.79,6.04,565.8029174286825,NA,1.395,5,3.25,12.55,NA,NA,3.995,NA,NA,NA,NA,NA,NA,NA,NA,99.59,NA,1253.06,1253.06,1019.59,130.55,200.0929174286825
10,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.91128205128205,17.77,NA,1.606,NA,NA,15.77,4.62,NA,NA,45,3.06,3.55,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.48999726176797,78.485,NA,31.57,237.505,57.005,818.273997261768,NA,NA,NA,NA,29.585,NA,NA,NA,NA,NA,NA,13.11,NA,NA,NA,2.15,78.485,31.57,1445.82,1445.82,1171.64,152.78,132.48999726176797
11,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.59822115384615,3.92,NA,NA,NA,NA,1.62,NA,NA,NA,26.31,3.06,NA,NA,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.771772113156398,46.495,NA,2,NA,1.25,99.9667721131564,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.495,2,126.342,126.342,126.342,NA,6.771772113156398
12,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15.670745192307692,NA,3.689807692307692,1.441,NA,NA,2.77,8.31,NA,NA,25.39,3.06,NA,NA,NA,NA,NA,NA,NA,269.23,192.31,NA,NA,NA,NA,NA,164.46,141.66,38.61840479301597,25.53,NA,NA,NA,0.625,467.237404793016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.53,NA,818.91,818.91,611.33,130.82,38.61840479301597
13,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,79,NA,19.276586538461537,3.88,NA,NA,NA,NA,NA,9.23,NA,NA,16.39,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.66241790957005,10.755,NA,NA,NA,5.25,122.61241790957004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,10.755,NA,55.39,55.39,55.39,NA,86.66241790957005
14,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.55317307692307,5.82,NA,3.1735,NA,NA,20.77,27.69,NA,NA,62.31,3.06,3.58,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.18431937685835,258.265,NA,19.9,194.76812600969305,119.86,1150.8176379782892,NA,NA,5.195,4.55,92.925,NA,NA,NA,NA,NA,NA,10.445,NA,NA,NA,2,258.265,19.9,2667,2519.048,2003.51,630.05,164.18431937685835
15,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.42329326923077,2.77,NA,3.1735,NA,NA,1.85,13.85,NA,NA,13.39,3.06,4.73,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.68887867670598,29.83,NA,2.95,NA,1.25,182.435378676706,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.83,2.95,657.5,657.5,517.5,80,115.68887867670598
16,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,167.32,NA,26.15403846153846,4.23,NA,NA,NA,NA,3.15,4.38,NA,22.9,NA,NA,3.17,6.59,NA,1.34,23.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.44809236962433,96.86,NA,12.575,178.055,24.42,765.9230923696243,NA,NA,NA,1.8,56.81,NA,1.155,2.375,NA,NA,96.725,NA,NA,NA,NA,NA,96.86,12.575,1352.38,1418.76,1135.1764,176.6636,198.44809236962433
17,2,3,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,27.713076923076922,5.08,NA,NA,NA,NA,NA,8.54,20,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,5.08,98.295,NA,NA,2.975,34.39576923076923,250.3653846153846,NA,4.095,3.945,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,98.295,NA,383.4901538461538,383.4901538461538,383.4901538461538,NA,5.08
18,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22.960384615384616,NA,5.798269230769231,1.056,NA,NA,2.31,9,NA,NA,50.08,3.06,3.17,55.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,40.26395809521656,67.355,10,5.03,86.6,38.25,510.32295809521656,1.135,NA,1.245,NA,23.29,5.1,18.985,45.76,NA,NA,NA,NA,NA,NA,NA,NA,67.355,5.03,446.29815384615387,446.29815384615387,394.5981538461538,51.7,40.26395809521656
19,6,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,138.47,NA,25.349807692307692,5.77,NA,NA,NA,NA,42.25,26.66,NA,NA,86.31,3.06,4.27,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.15664146378344,176.46,NA,4,43.785,24.12,627.8266414637834,7.5,NA,1.35,1,12.505,4,NA,NA,NA,NA,NA,1.175,NA,NA,NA,NA,176.46,4,1579.48,1579.48,1329.4,152.93,169.15664146378344
20,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,34.52717948717949,8.08,NA,31.735,NA,NA,NA,31.39,NA,NA,20.77,3.06,3.08,9.44,NA,10.96,34.62,NA,NA,56.15,NA,NA,NA,NA,NA,NA,NA,NA,73.34820555041628,151.085,NA,87.54,5.48,47.165,529.8282055504163,NA,NA,2.5,3.545,NA,3.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.085,87.54,493.9801538461538,493.9801538461538,493.9801538461538,NA,73.34820555041628
21,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24.334086538461538,2.3,NA,4.191,NA,NA,4.15,10.39,NA,NA,16.85,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.491,30.885,NA,21.765,1.3,4.795,100.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,3.245,NA,NA,NA,NA,30.885,21.765,225.80815384615383,225.80815384615383,225.80815384615383,NA,6.491
22,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,60.9975,24.92,NA,4.081,NA,NA,14.09,9.92,NA,NA,59.31,3.06,3.55,16.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.18697510545394,186.89,1.35,21.5,333.605,324.775,1470.335975105454,3.625,NA,0.895,2.785,244.715,3.25,7.45,5.72,NA,NA,NA,NA,NA,NA,NA,6.25,186.89,21.5,2022.152,2176.002,1624.702,421.92,285.18697510545394
23,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,98.08,NA,27.758653846153848,9.23,NA,NA,NA,NA,11.54,6.46,NA,NA,20.77,3.06,NA,NA,NA,5.77,9.23,NA,NA,53.85,NA,NA,NA,NA,NA,NA,NA,NA,107.31,58.025,NA,NA,82.775,15.62,418.085,NA,NA,2.965,NA,25.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.025,NA,479.042,479.042,479.042,NA,107.31
24,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15.670745192307692,NA,3.689807692307692,1.584,NA,NA,NA,4.62,NA,NA,4.62,3.06,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,260.07621762144805,75.615,NA,NA,25.36,1.55,469.42221762144806,NA,NA,2.75,1.375,21.51,NA,NA,5.06,NA,NA,NA,NA,NA,NA,NA,91.995,75.615,NA,536.0981538461539,536.0981538461539,470.01815384615384,66.08,260.07621762144805
25,3,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.694,NA,NA,23.08,NA,NA,NA,NA,3.06,3.46,6.73,8.08,NA,56.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.27003892307692,84.955,NA,16.185,90.045,69.405,580.786038923077,NA,0.75,0.695,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.955,16.185,680.8,680.8,620.8,40,76.27003892307692
26,5,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.619,NA,NA,42.24,9.23,NA,27.93,NA,3.06,2.69,52.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.630555,145.625,NA,89.48,59.58,37.31,1142.321555,NA,NA,NA,NA,NA,1.595,NA,36.715,NA,NA,NA,NA,NA,NA,NA,13.5,145.625,89.48,1427.99,1427.99,1201.74,132.63,44.630555
27,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16.71778846153846,5.47,NA,4.2295,NA,NA,11.54,29.19,NA,NA,46.39,3.06,9.62,26.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.13796054667355,294.97,NA,51.25,141.355,22.13,1617.7934605466735,NA,NA,NA,0.975,58.63,NA,7.8,34.75,NA,NA,6.6,NA,NA,NA,NA,NA,294.97,51.25,495.12,495.12,495.12,NA,55.13796054667355
28,5,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.444,NA,NA,22.5,14.54,NA,17.31,NA,3.06,7.41,10.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.21355076923075,84.915,NA,NA,263.405,0.3,707.1495507692307,NA,NA,1.67,NA,145.005,NA,3.495,7.715,NA,NA,NA,NA,NA,NA,NA,NA,84.915,NA,1268.71,1268.71,1027.21,132.34,130.21355076923075
29,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.809399038461535,3.69,NA,2.6455,NA,NA,24.92,12.69,NA,NA,15,3.06,9.23,9.42,NA,NA,38.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.41291233884982,52.255,NA,NA,111.695,49.705,322.1724123388498,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.255,NA,606.58,606.58,479.58,75,38.41291233884982
30,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,78.47,NA,13.432067307692307,NA,3.1626923076923075,NA,NA,NA,NA,NA,NA,NA,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,78.47,39.975,NA,5.995,NA,3.97,138.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.975,5.995,170.742,170.742,170.742,NA,78.47
31,1,3,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,31.669158653846154,3.46,NA,3.1735,NA,NA,NA,15.38,23.08,13.08,NA,3.06,2.31,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.08,NA,NA,36.298132887773384,41.345,NA,8.4,6.86,4.715,179.12463288777337,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.345,8.4,496.37815384615385,496.37815384615385,432.9081538461538,63.47,36.298132887773384
32,4,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,39.10182692307692,6.23,NA,2.1175,NA,NA,NA,27.93,18.88,19.77,NA,3.06,2.88,4.81,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,NA,18.88,NA,NA,55.01810741745643,123.54,NA,17.28,97.07,36.165,421.6256074174564,2.095,NA,NA,1.495,23.605,NA,NA,NA,NA,NA,9.325,NA,NA,NA,NA,NA,123.54,17.28,1374.18,1374.18,1265.78,61.65,55.01810741745643
33,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,44.7735576923077,NA,7.906730769230769,2.486,NA,NA,7.14,11.54,NA,NA,65.31,3.06,6.06,8.08,NA,NA,NA,NA,NA,161.54,NA,NA,30.77,NA,NA,NA,164.46,141.66,74.60340227123297,95.845,NA,23.155,52.88,1.645,770.257402271233,NA,1.85,NA,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.845,23.155,2667,2519.048,2003.51,0.04,74.60340227123297
34,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,62.636538461538464,5.38,NA,16.9235,NA,NA,10.62,26.54,NA,NA,84.24,3.06,2.69,6.73,NA,80.76,38.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.15132141610087,202.08,NA,197.31,49.375,73.37,1372.012821416101,1.25,NA,1.375,1.125,NA,NA,134.62,6.25,NA,NA,NA,NA,NA,NA,NA,8.375,202.08,197.31,887.440153846154,887.440153846154,792.3601538461539,95.08,462.15132141610087
35,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.379967948717955,10.38,NA,1.606,NA,NA,4.39,7.5,NA,NA,50.31,3.06,3.17,6.29,NA,NA,NA,NA,NA,NA,NA,NA,21.92,NA,NA,NA,NA,NA,162.22793650696232,143.965,NA,14.945,32.14,119.475,674.0019365069624,1.995,NA,NA,1.245,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,143.965,14.945,2513.65,2518.65,1807.32,596.88,162.22793650696232
36,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,66.01,NA,17.909423076923076,NA,4.216923076923077,NA,NA,NA,NA,NA,NA,80,NA,3.06,0.58,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,92.27404746128636,17.415,NA,NA,2.4,NA,205.18904746128632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.415,NA,234.23815384615384,234.23815384615384,231.69815384615384,2.54,92.27404746128636
37,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.621009615384615,3.38,NA,4.5705,NA,2.3,4.15,NA,NA,NA,15.38,3.06,3.13,4.23,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3705,63.575,NA,NA,73.765,9.125,237.31,NA,NA,1.75,3.745,61.64,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,63.575,NA,939.7,949.32,730.99,134.59,27.3705
38,6,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,70.38173076923077,23.08,NA,12.694,NA,NA,27.7,15.23,NA,NA,138.47,3.06,9.71,19.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.1240220238302,170.49,3.99,7,135.045,26.245,1126.3250220238301,NA,NA,NA,0.595,66.71,3.85,NA,NA,NA,NA,42.3,NA,NA,NA,NA,NA,170.49,7,2057.6381538461537,2057.6381538461537,1603.3781538461537,338.68,317.1240220238302
39,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,108.01,NA,29.636698717948715,13.07,NA,NA,NA,NA,34.86,5.42,NA,37.96,NA,3.06,9.58,12.26,NA,NA,107.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.07943111919656,34.68,NA,NA,57.902530963920306,109.135,521.9369620831169,NA,NA,2.125,0.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.68,NA,1227.08,1227.08,1127.8,54.78,151.07943111919656
40,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.375384615384615,10,NA,2.167,NA,NA,NA,10.25,NA,NA,21,3.06,0.58,4.62,NA,NA,NA,NA,NA,84.62,NA,NA,NA,NA,NA,NA,NA,NA,196.09838428502528,81.375,NA,3.38,NA,1.84,410.2813842850253,5.56,NA,2.745,NA,NA,0.895,NA,2.225,NA,NA,NA,NA,NA,NA,NA,9.995,81.375,3.38,381.742,381.742,392.892,NA,196.09838428502528
41,2,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,23.87923076923077,NA,4.216923076923077,3.1735,NA,NA,1.85,NA,NA,24,NA,3.06,2.4,3.08,3.46,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,164.46,141.66,35.15153708950803,35.98,17.65,29.75,24.365,26.605,224.86303708950803,NA,NA,5.7,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.98,29.75,269.4032307692308,269.4032307692308,269.4032307692308,NA,35.15153708950803
42,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,215.79,NA,25.16884615384615,5.32,NA,NA,NA,NA,1.14,9.1,29.99,8.1,NA,3.06,2.5,3.66,NA,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.91,NA,NA,245.5239247283127,22.38,NA,NA,6.48,2.815,430.7889247283126,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.38,NA,1228.92,1259,911.2824,243.8676,245.5239247283127
43,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,140.09,NA,27.922371794871793,5.77,NA,NA,NA,NA,30,NA,NA,NA,16.16,NA,2.5,280.79,8.08,NA,NA,NA,NA,NA,NA,NA,38.46,NA,NA,NA,NA,NA,173.47825326452988,141.75,NA,NA,170.94,46.285,856.9232532645299,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,141.75,NA,1848.09,1848.09,1236.05,455.34,173.47825326452988
44,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.348269230769233,9.62,NA,11.77,NA,NA,NA,9.28,NA,NA,38.26,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.041065865581967,61.85,NA,5.975,26.89,20.245,244.82606586558197,2.245,NA,NA,1.57,NA,1.79,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,61.85,5.975,310.7112307692308,310.7112307692308,310.7112307692308,NA,30.041065865581967
45,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.48153846153846,NA,3.689807692307692,1.7435,NA,NA,3.47,11.31,NA,NA,25.62,3.06,3.31,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,43.30503227503874,96.885,NA,65.885,134.775,5.15,406.08153227503874,NA,1,0.4,0.5,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.885,65.885,535.04,535.04,482.43,29.4,43.30503227503874
46,2,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,3.17,10.58,4.62,NA,NA,NA,NA,NA,NA,NA,23.08,20,NA,NA,NA,NA,111.26859396923076,170.255,NA,99.27,62.755,141.91,774.3085939692307,NA,NA,2.445,4.985,34.935,0.96,NA,0.495,NA,NA,NA,1.59,NA,NA,NA,7.995,170.255,99.27,948.77,948.77,808.91,76.39,111.26859396923076
47,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,89.31,NA,23.933461538461536,2.77,NA,NA,NA,NA,NA,10.85,NA,NA,23.08,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.45676066199871,101.14,NA,NA,1.71,37.65,337.6367606619987,4.865,NA,NA,1.715,NA,NA,NA,2.56,NA,NA,NA,0.495,10,NA,NA,0.495,101.14,NA,599.96,599.96,596.9,NA,96.45676066199871
48,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,43.83677884615385,13.32,NA,4.334,NA,NA,1.62,15,NA,11.54,NA,3.06,3.18,16.36,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.77230436806948,55.47,NA,19,44.57,NA,314.8933043680695,NA,NA,1.195,NA,NA,NA,NA,NA,NA,NA,2.135,NA,NA,NA,NA,NA,55.47,19,1351.5681538461538,1351.5681538461538,1111.188153846154,240.38,62.77230436806948
49,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.028076923076924,7.48,NA,2.4695,NA,NA,28.85,13.96,NA,NA,41.08,3.06,5.65,16.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.68078816308756,117.315,NA,NA,100.55201015462728,10.05,475.29829831771485,NA,2.245,3.68,0.55,25,3.145,NA,NA,NA,NA,NA,3.84,NA,NA,NA,19.735,117.315,NA,922.8,922.8,825.8,54.2,116.68078816308756
50,5,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.85487179487179,23.08,NA,1.716,21.45,NA,24.24,12.65,NA,NA,63.93,3.06,7.96,10.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.90564384544084,193.94,NA,28.83,24.82554875573983,79.88,1193.6551926011805,NA,NA,1.225,4.035,NA,4.22,NA,9.34,NA,NA,NA,0.98,NA,NA,NA,NA,193.94,28.83,1433.46,1447.88,1186.9176,173.7224,171.90564384544084
51,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.847884615384615,5.77,NA,2.1175,NA,NA,15.23,24.23,NA,NA,40.39,3.06,5.77,20.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.01691053208919,84.025,NA,21.35,165.215,99.575,696.0194105320892,NA,NA,4.5,NA,45.745,NA,NA,NA,NA,NA,NA,3.5,51.975,NA,NA,NA,84.025,21.35,1701.77,1701.77,1325.45,226.4,50.01691053208919
52,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,154.63,NA,26.894615384615385,6.62,NA,NA,NA,NA,NA,13.38,NA,NA,50.08,3.06,4.23,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.7468655691728,103.55,NA,73.3,58.93,29.29,622.7562482139916,1.75,NA,0.15,0.9,NA,1,76.97438264481883,0.5,NA,NA,NA,10.545,3.5,NA,NA,NA,103.55,73.3,504.54,504.54,483.88,16.48,188.7468655691728
