case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
1864,1,3,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,28.716490384615383,6.69,NA,2.6565,NA,NA,1.85,11.08,13.38,21.77,NA,3.06,3.17,14.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.38,NA,NA,39.25550010514141,54.95,NA,27.205,29.045,8.24,353.0790001051414,2,NA,NA,NA,27.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.95,27.205,438.9781538461538,438.9781538461538,438.9781538461538,NA,39.25550010514141
1865,3,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,44.7735576923077,NA,7.906730769230769,NA,NA,NA,24.93,12.69,NA,19.16,NA,3.06,NA,21.34,NA,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,NA,97.165,NA,7,170.975,32.585,602.975,3,NA,NA,2.35,NA,3.25,NA,NA,NA,NA,23.35,3.945,NA,NA,NA,NA,97.165,7,875.25,1394.53,1166.68,68.73,NA
1866,2,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,33.863846153846154,NA,NA,NA,NA,NA,3.46,NA,NA,18.46,NA,3.06,3.17,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.38641339164485,60.39,NA,36.995,390.38,11.305,590.9614133916448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.39,36.995,727.67,727.67,639.82,48.68,32.38641339164485
1867,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,34.757179487179485,6,NA,2.3925,NA,NA,5.54,9.23,4.62,11.54,NA,3.06,3.69,12.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,73.96207939914163,99.28,5.395,NA,64.35,67.035,449.6095793991416,1.35,NA,NA,0.43,59.71,1.33,NA,1.8,NA,NA,NA,3.95,10.175,NA,NA,31.245,99.28,NA,787.498153846154,787.498153846154,711.8581538461539,72.67,73.96207939914163
1868,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.33871794871795,14.08,NA,6.347,NA,NA,NA,16.62,NA,NA,65.31,3.06,4.95,12.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.56986369355946,201.835,NA,12.75,317.08,41.495,844.6678636935595,1.875,1.25,NA,NA,39.05,NA,NA,1.4,NA,NA,NA,24.245,NA,NA,NA,NA,201.835,12.75,1084.8232307692308,1084.8232307692308,1019.4332307692308,65.39,53.56986369355946
1869,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.863846153846154,11.04,NA,6.1215,NA,NA,4.03,9.25,NA,NA,26.54,3.06,2.62,8.17,NA,17.84,NA,28,NA,NA,NA,22.62,NA,NA,NA,NA,NA,NA,69.5918287524286,112.155,NA,NA,91.35,45.27,473.11532875242864,NA,NA,2,2.125,NA,NA,6,NA,NA,NA,NA,9.24,NA,NA,NA,19.875,112.155,NA,1325.87,1325.87,1067.58,174.92,69.5918287524286
1870,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,42.847788461538464,8.36,NA,3.3935,NA,NA,2.31,9.46,NA,NA,31.16,3.06,3.27,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.83758084536865,112.325,NA,18.75,9.85,24.68,400.19408084536866,2.5,NA,2.125,4.3,NA,NA,NA,1.75,NA,NA,1.35,12,NA,NA,NA,3.495,112.325,18.75,719.47,719.47,590.8853846153846,113.2,59.83758084536865
1871,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,4.93,NA,15.670745192307692,NA,3.689807692307692,NA,NA,NA,1.15,NA,9.23,16.69,NA,3.06,3.63,4.2,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23,164.46,141.66,12.705746635734982,25.655,NA,NA,12.09,13.635,108.94574663573498,2.465,NA,NA,NA,12.09,NA,NA,NA,NA,NA,NA,5.115,2.995,NA,NA,NA,25.655,NA,190.45815384615383,190.45815384615383,190.45815384615383,NA,12.705746635734982
1872,2,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,33.21794871794872,5.54,NA,1.4025,NA,NA,1.73,19.62,NA,NA,24.92,3.06,2.88,6.34,NA,NA,NA,NA,NA,415.39,384.62,NA,38.26,NA,NA,NA,NA,NA,46.23705109800574,91.025,6.45,67.805,38.26,11.99,747.0845510980057,NA,NA,4.375,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,91.025,67.805,635.6632307692307,635.6632307692307,602.0532307692307,33.61,46.23705109800574
1873,4,3,2,NA,2,NA,1,NA,NA,NA,NA,NA,196.17,NA,41.637980769230765,12.23,NA,NA,NA,NA,5.95,6.23,10.77,13.85,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.77,NA,NA,248.55911800132913,74.51,NA,8,40,12.94,441.48911800132913,NA,NA,NA,NA,15,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.51,8,409.82,409.82,409.05,0.77,248.55911800132913
1874,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,52.358333333333334,9.69,NA,72.4405,NA,NA,5.67,21.58,NA,NA,58.4,NA,5.96,15.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.3143664347434,157.105,NA,NA,229.96042649801757,114.45,867.2074039413,NA,NA,1.8,11.02,92.11,4.375,NA,10.445,NA,NA,NA,6.2,NA,NA,NA,10.25,157.105,NA,1030.2293846153846,1030.2293846153846,938.3793846153847,91.85,145.3143664347434
1875,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,27.0525,4.38,NA,1.4795,NA,NA,5.77,12.92,NA,NA,32.77,3.06,NA,NA,NA,NA,46.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.25008737027856,34.01,NA,2.625,NA,389.1,545.8905873702786,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95,4.875,NA,NA,NA,34.01,2.625,276.06123076923075,276.06123076923075,276.06123076923075,NA,35.25008737027856
1876,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39.231057692307694,8.49,NA,8.8055,NA,NA,3.46,7.72,NA,NA,38.58,3.06,5.58,24.44,NA,NA,NA,NA,NA,NA,NA,9.23,9.23,NA,NA,NA,NA,NA,177.48917765696115,109.855,NA,1.875,192.9097492114778,9.725,811.8084268684389,2,2.1,1.325,NA,23.84,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,109.855,1.875,1619.28,1619.28,1266.29,204.08,177.48917765696115
